"","mtry","trees","min_n","tree_depth","learn_rate","loss_reduction","sample_size",".metric",".estimator","mean","n","std_err",".config"
"1",16,395,32,11,0.0293550733512085,3.06705197056268e-06,0.566516400825232,"mn_log_loss","binary",0.563317629225248,5,0.0104057745722369,"Preprocessor1_Model41"
"2",8,1944,30,12,0.0145949601592268,0.000816771372569896,0.406122478623875,"mn_log_loss","binary",0.56989472626156,5,0.0115637324452408,"Preprocessor1_Model20"
"3",10,294,19,4,0.00455415434577449,7.21667657268631e-10,0.750099020520691,"mn_log_loss","binary",0.5706724595985,5,0.00518822411267156,"Preprocessor1_Model25"
"4",15,1090,34,8,0.00971873333038243,9.64942999818728e-05,0.352887772949878,"mn_log_loss","binary",0.571203444287597,5,0.0105549305503802,"Preprocessor1_Model37"
"5",3,1427,22,12,0.00104635052210522,0.0072790080239881,0.382905696540605,"mn_log_loss","binary",0.57770843601325,5,0.00597894572963218,"Preprocessor1_Model05"
"6",17,275,11,3,0.0575668643685383,2.36466623492823e-08,0.949235056310426,"mn_log_loss","binary",0.578040874565467,5,0.00722983717978824,"Preprocessor1_Model42"
"7",3,1224,30,12,0.00106559679041342,3.59003217156905,0.523334565873724,"mn_log_loss","binary",0.584121396699277,5,0.00546745529785068,"Preprocessor1_Model06"
"8",19,606,4,4,0.0231816124607448,0.113455444789051,0.925494118697476,"mn_log_loss","binary",0.585752565792737,5,0.00558460307434329,"Preprocessor1_Model47"
"9",7,148,32,11,0.00686221962907411,0.267103906148736,0.852863075105939,"mn_log_loss","binary",0.586550529010777,5,0.00490566214221338,"Preprocessor1_Model17"
"10",9,1960,11,13,0.000520465373651578,1.1724201015189e-06,0.157023536825553,"mn_log_loss","binary",0.593505252388925,5,0.00490068781005417,"Preprocessor1_Model21"
"11",15,1393,35,5,0.0930228185008061,0.00181773725088342,0.825059636746068,"mn_log_loss","binary",0.63780150860533,5,0.0180013535849718,"Preprocessor1_Model38"
"12",18,1860,24,10,0.000142457663128246,0.000697831485633563,0.619413020272274,"mn_log_loss","binary",0.647002009952351,5,0.00168101556460791,"Preprocessor1_Model45"
"13",7,1912,5,5,0.000105254650429984,0.0647455851928556,0.472910610636696,"mn_log_loss","binary",0.654226249217937,5,0.00136646173887316,"Preprocessor1_Model15"
"14",6,749,13,15,0.000259055779899208,3.82364262141702e-10,0.5105503714527,"mn_log_loss","binary",0.656268835652081,5,0.00130850119950906,"Preprocessor1_Model13"
"15",5,66,10,14,0.00251037829177799,0.00262979060284434,0.304526502863504,"mn_log_loss","binary",0.661962040920536,5,0.00112204003084134,"Preprocessor1_Model11"
"16",4,671,38,9,0.000434387133822713,1.75167332161989e-06,0.285285677375272,"mn_log_loss","binary",0.66422647761302,5,0.000983542420527466,"Preprocessor1_Model10"
"17",8,893,6,6,7.31314472508057e-05,4.72537114492398e-08,0.808440338906366,"mn_log_loss","binary",0.678686492474408,5,0.000477966136275807,"Preprocessor1_Model18"
"18",3,1741,14,7,3.80344449580679e-05,3.86367594895611e-09,0.705350621562451,"mn_log_loss","binary",0.679125224254042,5,0.000491829583575491,"Preprocessor1_Model04"
"19",16,21,9,2,0.00231865983794363,4.46528084120305e-07,0.729994439307135,"mn_log_loss","binary",0.684129281630971,5,0.000287047946363775,"Preprocessor1_Model40"
"20",20,500,26,4,3.76467499822367e-05,16.2757403427823,0.652080577579327,"mn_log_loss","binary",0.689492926263922,5,0.000117557331533251,"Preprocessor1_Model50"
