"","penalty",".metric",".estimator","mean","n","std_err",".config"
"1",0.11,"rmse","standard",11.0943234393827,10,0.199499223939451,"Preprocessor1_Model02"
"2",0.12,"rmse","standard",11.0944462334017,10,0.199591874096879,"Preprocessor1_Model03"
"3",0.1,"rmse","standard",11.0947778198837,10,0.199199182404356,"Preprocessor1_Model01"
"4",0.13,"rmse","standard",11.0948176564944,10,0.199699598550238,"Preprocessor1_Model04"
"5",0.14,"rmse","standard",11.0956846259043,10,0.199744530977372,"Preprocessor1_Model05"
"6",0.15,"rmse","standard",11.0969107501738,10,0.199874447415484,"Preprocessor1_Model06"
"7",0.16,"rmse","standard",11.0985567728516,10,0.200107949264485,"Preprocessor1_Model07"
"8",0.17,"rmse","standard",11.1008441164197,10,0.200449807827154,"Preprocessor1_Model08"
"9",0.18,"rmse","standard",11.1034112147684,10,0.20088457747772,"Preprocessor1_Model09"
"10",0.19,"rmse","standard",11.1062981430787,10,0.201293250545612,"Preprocessor1_Model10"
"11",0.44,"rmse","standard",11.108689910175,10,0.197961073789749,"Preprocessor1_Model35"
"12",0.43,"rmse","standard",11.1087184747132,10,0.198003322892224,"Preprocessor1_Model34"
"13",0.45,"rmse","standard",11.1087257703408,10,0.19793811045804,"Preprocessor1_Model36"
"14",0.42,"rmse","standard",11.1087829380973,10,0.198042778089196,"Preprocessor1_Model33"
"15",0.41,"rmse","standard",11.1088466931882,10,0.19808011059004,"Preprocessor1_Model32"
"16",0.4,"rmse","standard",11.1090331195523,10,0.1981609501746,"Preprocessor1_Model31"
"17",0.46,"rmse","standard",11.1090916111846,10,0.198004836383067,"Preprocessor1_Model37"
"18",0.39,"rmse","standard",11.1092920228865,10,0.198257491494553,"Preprocessor1_Model30"
"19",0.2,"rmse","standard",11.1093671201352,10,0.201503362752672,"Preprocessor1_Model11"
"20",0.47,"rmse","standard",11.1094554374953,10,0.198076110554197,"Preprocessor1_Model38"
