"","penalty",".metric",".estimator","mean","n","std_err",".config"
"1",0.02,"rmse","standard",11.184952188718,10,0.210081900984318,"Preprocessor1_Model003"
"2",0.01,"rmse","standard",11.1885185597784,10,0.210143778693701,"Preprocessor1_Model002"
"3",0.03,"rmse","standard",11.1891480038205,10,0.209663079506532,"Preprocessor1_Model004"
"4",0,"rmse","standard",11.1922493897406,10,0.210579109949205,"Preprocessor1_Model001"
"5",0.04,"rmse","standard",11.1938126892775,10,0.20919358572029,"Preprocessor1_Model005"
"6",0.07,"rmse","standard",11.1972598207262,10,0.208835182448679,"Preprocessor1_Model008"
"7",0.05,"rmse","standard",11.1972990893047,10,0.209338046197188,"Preprocessor1_Model006"
"8",0.06,"rmse","standard",11.1973164137431,10,0.208958506803787,"Preprocessor1_Model007"
"9",0.08,"rmse","standard",11.1974088202173,10,0.208715654080093,"Preprocessor1_Model009"
"10",0.09,"rmse","standard",11.1975951877277,10,0.208584406480883,"Preprocessor1_Model010"
"11",0.1,"rmse","standard",11.1978102814614,10,0.20845557179603,"Preprocessor1_Model011"
"12",0.11,"rmse","standard",11.1980412314292,10,0.208335537319363,"Preprocessor1_Model012"
"13",0.12,"rmse","standard",11.1983305320372,10,0.208194057331841,"Preprocessor1_Model013"
"14",0.13,"rmse","standard",11.1985928723879,10,0.20807892501627,"Preprocessor1_Model014"
"15",0.14,"rmse","standard",11.1988947367124,10,0.207952198861056,"Preprocessor1_Model015"
"16",0.15,"rmse","standard",11.1992192397314,10,0.207821158810056,"Preprocessor1_Model016"
"17",0.16,"rmse","standard",11.1995501161962,10,0.207695163548982,"Preprocessor1_Model017"
"18",0.17,"rmse","standard",11.1999167941599,10,0.207565776169284,"Preprocessor1_Model018"
"19",0.18,"rmse","standard",11.2003008211969,10,0.207437467195843,"Preprocessor1_Model019"
"20",0.19,"rmse","standard",11.200690645851,10,0.207313976764408,"Preprocessor1_Model020"
