"","penalty","mixture",".metric",".estimator","mean","n","std_err",".config"
"1",0.1,0,"mn_log_loss","binary",0.549475287283051,5,0.00845718620528973,"Preprocessor1_Model002"
"2",0.2,0,"mn_log_loss","binary",0.550345609900658,5,0.00813032184212583,"Preprocessor1_Model003"
"3",0.3,0,"mn_log_loss","binary",0.552094231418673,5,0.00781995802944565,"Preprocessor1_Model004"
"4",0.1,0.1,"mn_log_loss","binary",0.552361196015535,5,0.00734973535780724,"Preprocessor1_Model013"
"5",0,0,"mn_log_loss","binary",0.552644016919296,5,0.00828050725788256,"Preprocessor1_Model001"
"6",0.4,0,"mn_log_loss","binary",0.554096429612775,5,0.00754831884286338,"Preprocessor1_Model005"
"7",0.1,0.2,"mn_log_loss","binary",0.555795834550341,5,0.00650255768495412,"Preprocessor1_Model024"
"8",0.5,0,"mn_log_loss","binary",0.556172646026796,5,0.00730884800253077,"Preprocessor1_Model006"
"9",0.6,0,"mn_log_loss","binary",0.558251571707425,5,0.0070929870268346,"Preprocessor1_Model007"
"10",0.2,0.1,"mn_log_loss","binary",0.558720694788821,5,0.00622119759554993,"Preprocessor1_Model014"
"11",0.1,0.3,"mn_log_loss","binary",0.560144811042053,5,0.00594116471320895,"Preprocessor1_Model035"
"12",0.7,0,"mn_log_loss","binary",0.560310592061748,5,0.0068955973809964,"Preprocessor1_Model008"
"13",0.8,0,"mn_log_loss","binary",0.56232867954426,5,0.0067178486753449,"Preprocessor1_Model009"
"14",0.9,0,"mn_log_loss","binary",0.564295143878386,5,0.00655530054688399,"Preprocessor1_Model010"
"15",0.1,0.4,"mn_log_loss","binary",0.565976233282218,5,0.00545387470120267,"Preprocessor1_Model046"
"16",1,0,"mn_log_loss","binary",0.566208670926297,5,0.0064012294419584,"Preprocessor1_Model011"
"17",0.3,0.1,"mn_log_loss","binary",0.566957593452683,5,0.00553281154676049,"Preprocessor1_Model015"
"18",0,0.1,"mn_log_loss","binary",0.568523918986407,5,0.00678150433581002,"Preprocessor1_Model012"
"19",0,1,"mn_log_loss","binary",0.56941294971473,5,0.00643315509825249,"Preprocessor1_Model111"
"20",0,0.9,"mn_log_loss","binary",0.569523599664796,5,0.00790211698222671,"Preprocessor1_Model100"
