"","mtry","trees","min_n",".metric",".estimator","mean","n","std_err",".config"
"1",5,500,50,"mn_log_loss","binary",0.554744320536127,5,0.00695751218268586,"Preprocessor1_Model03"
"2",5,1000,50,"mn_log_loss","binary",0.554880488047769,5,0.00659209601871128,"Preprocessor1_Model06"
"3",5,1500,50,"mn_log_loss","binary",0.555246953831969,5,0.00670830074804888,"Preprocessor1_Model09"
"4",5,1500,100,"mn_log_loss","binary",0.555483331844541,5,0.00673820163256375,"Preprocessor1_Model18"
"5",5,1000,100,"mn_log_loss","binary",0.555631232054571,5,0.00680644360614684,"Preprocessor1_Model15"
"6",5,500,100,"mn_log_loss","binary",0.556124810828969,5,0.00693049786061312,"Preprocessor1_Model12"
"7",3,1500,50,"mn_log_loss","binary",0.556421396504021,5,0.00695894180717859,"Preprocessor1_Model08"
"8",5,1000,150,"mn_log_loss","binary",0.556489869593944,5,0.00703220202393478,"Preprocessor1_Model24"
"9",3,1000,50,"mn_log_loss","binary",0.556512053877924,5,0.00665776486994245,"Preprocessor1_Model05"
"10",5,500,150,"mn_log_loss","binary",0.556667624723327,5,0.00667147062699933,"Preprocessor1_Model21"
"11",5,1500,150,"mn_log_loss","binary",0.55671821207127,5,0.00691816112676182,"Preprocessor1_Model27"
"12",3,1500,100,"mn_log_loss","binary",0.557409390018369,5,0.00662374120879978,"Preprocessor1_Model17"
"13",3,500,50,"mn_log_loss","binary",0.557711792631921,5,0.00700526219488623,"Preprocessor1_Model02"
"14",3,500,100,"mn_log_loss","binary",0.557972721794707,5,0.00669755814768685,"Preprocessor1_Model11"
"15",3,1000,100,"mn_log_loss","binary",0.558036389505476,5,0.00664672081186503,"Preprocessor1_Model14"
"16",3,1000,150,"mn_log_loss","binary",0.560268948564359,5,0.00647835169525071,"Preprocessor1_Model23"
"17",3,500,150,"mn_log_loss","binary",0.560546615078774,5,0.00645245183392994,"Preprocessor1_Model20"
"18",3,1500,150,"mn_log_loss","binary",0.560568059819958,5,0.00657722851881367,"Preprocessor1_Model26"
"19",1,1500,50,"mn_log_loss","binary",0.570900982624613,5,0.00560541478739197,"Preprocessor1_Model07"
"20",1,500,50,"mn_log_loss","binary",0.5714028187813,5,0.00558635212052968,"Preprocessor1_Model01"
