"","mtry","trees","min_n",".metric",".estimator","mean","n","std_err",".config"
"1",5,1500,50,"mn_log_loss","binary",0.553915348144837,5,0.00666292630795059,"Preprocessor1_Model09"
"2",5,1500,100,"mn_log_loss","binary",0.553981734991521,5,0.00650897002356162,"Preprocessor1_Model18"
"3",5,1000,100,"mn_log_loss","binary",0.554521375588322,5,0.00670161350629695,"Preprocessor1_Model15"
"4",3,1000,50,"mn_log_loss","binary",0.554701164562938,5,0.00627454649471374,"Preprocessor1_Model05"
"5",5,500,50,"mn_log_loss","binary",0.554715741753459,5,0.00637413743734141,"Preprocessor1_Model03"
"6",5,500,100,"mn_log_loss","binary",0.554756976108954,5,0.00697246009744769,"Preprocessor1_Model12"
"7",5,1000,50,"mn_log_loss","binary",0.554787724219701,5,0.00681868201282859,"Preprocessor1_Model06"
"8",5,1000,150,"mn_log_loss","binary",0.55545526790304,5,0.00647825465941933,"Preprocessor1_Model24"
"9",5,1500,150,"mn_log_loss","binary",0.555474293869935,5,0.00680002739535948,"Preprocessor1_Model27"
"10",5,500,150,"mn_log_loss","binary",0.555476529286137,5,0.00700377526059665,"Preprocessor1_Model21"
"11",3,1500,50,"mn_log_loss","binary",0.555537164618097,5,0.00670255302030211,"Preprocessor1_Model08"
"12",3,1000,100,"mn_log_loss","binary",0.555642246272707,5,0.00714852872883072,"Preprocessor1_Model14"
"13",3,1500,100,"mn_log_loss","binary",0.555707116463679,5,0.00647438590059448,"Preprocessor1_Model17"
"14",3,500,50,"mn_log_loss","binary",0.555739643484451,5,0.0072459861191412,"Preprocessor1_Model02"
"15",3,500,100,"mn_log_loss","binary",0.556109536942754,5,0.00677947523262572,"Preprocessor1_Model11"
"16",3,500,150,"mn_log_loss","binary",0.558012311393771,5,0.0067544649877378,"Preprocessor1_Model20"
"17",3,1500,150,"mn_log_loss","binary",0.558050935731274,5,0.00644026295631184,"Preprocessor1_Model26"
"18",3,1000,150,"mn_log_loss","binary",0.558112386542856,5,0.00661834912415229,"Preprocessor1_Model23"
"19",1,500,50,"mn_log_loss","binary",0.565791823531203,5,0.00629773882488867,"Preprocessor1_Model01"
"20",1,1000,50,"mn_log_loss","binary",0.565936527028823,5,0.00638846360826513,"Preprocessor1_Model04"
