"","mtry","trees","min_n",".metric",".estimator","mean","n","std_err",".config"
"1",5,1000,50,"rmse","standard",11.149106480446,5,0.198601167004549,"Preprocessor1_Model06"
"2",5,500,50,"rmse","standard",11.1525626038384,5,0.192261958102277,"Preprocessor1_Model03"
"3",5,1500,50,"rmse","standard",11.1540310458885,5,0.203070856548854,"Preprocessor1_Model09"
"4",3,1500,50,"rmse","standard",11.1863929209477,5,0.204959269304983,"Preprocessor1_Model08"
"5",5,1500,100,"rmse","standard",11.1936023976007,5,0.197208063071428,"Preprocessor1_Model18"
"6",5,500,100,"rmse","standard",11.1967885381478,5,0.197108654991771,"Preprocessor1_Model12"
"7",5,1000,100,"rmse","standard",11.198049098313,5,0.200582168429292,"Preprocessor1_Model15"
"8",3,1000,50,"rmse","standard",11.1992573178508,5,0.202887832159276,"Preprocessor1_Model05"
"9",3,500,50,"rmse","standard",11.2095156193904,5,0.20660649939241,"Preprocessor1_Model02"
"10",3,500,100,"rmse","standard",11.2525087584925,5,0.204349027857831,"Preprocessor1_Model11"
"11",5,1500,150,"rmse","standard",11.2546722827117,5,0.195430416286573,"Preprocessor1_Model27"
"12",5,500,150,"rmse","standard",11.2608898654938,5,0.195491975793581,"Preprocessor1_Model21"
"13",3,1500,100,"rmse","standard",11.2616933849003,5,0.205162314479269,"Preprocessor1_Model17"
"14",5,1000,150,"rmse","standard",11.2619285401769,5,0.19893623029041,"Preprocessor1_Model24"
"15",3,1000,100,"rmse","standard",11.2638425630287,5,0.201231647903672,"Preprocessor1_Model14"
"16",3,1500,150,"rmse","standard",11.3422511183442,5,0.20823533892291,"Preprocessor1_Model26"
"17",3,1000,150,"rmse","standard",11.3445591186886,5,0.205598094235655,"Preprocessor1_Model23"
"18",3,500,150,"rmse","standard",11.3502464923036,5,0.200449161558242,"Preprocessor1_Model20"
"19",1,1500,50,"rmse","standard",11.533380590478,5,0.222369281755678,"Preprocessor1_Model07"
"20",1,1000,50,"rmse","standard",11.5359010131842,5,0.226781279930569,"Preprocessor1_Model04"
