"","mtry","trees","min_n",".metric",".estimator","mean","n","std_err",".config"
"1",3,1500,100,"rmse","standard",11.160342709985,5,0.216060780408375,"Preprocessor1_Model17"
"2",3,500,100,"rmse","standard",11.1630068722039,5,0.217395123892507,"Preprocessor1_Model11"
"3",1,1000,50,"rmse","standard",11.1630200895227,5,0.219505205729186,"Preprocessor1_Model04"
"4",3,1500,50,"rmse","standard",11.1698523937389,5,0.234051633946338,"Preprocessor1_Model08"
"5",5,1500,100,"rmse","standard",11.171026323227,5,0.222246573171394,"Preprocessor1_Model18"
"6",3,1000,100,"rmse","standard",11.1711519182696,5,0.211963152067185,"Preprocessor1_Model14"
"7",3,500,50,"rmse","standard",11.1741716479869,5,0.236341562991488,"Preprocessor1_Model02"
"8",5,1000,100,"rmse","standard",11.1760811490715,5,0.22028819231295,"Preprocessor1_Model15"
"9",5,500,100,"rmse","standard",11.1772611287299,5,0.219504829569694,"Preprocessor1_Model12"
"10",1,1500,50,"rmse","standard",11.1794134357767,5,0.218208551390395,"Preprocessor1_Model07"
"11",3,1000,50,"rmse","standard",11.1795136318742,5,0.2352960378914,"Preprocessor1_Model05"
"12",1,500,50,"rmse","standard",11.1842817643053,5,0.218656516605023,"Preprocessor1_Model01"
"13",5,1000,50,"rmse","standard",11.1865724071413,5,0.239355514379249,"Preprocessor1_Model06"
"14",5,1500,50,"rmse","standard",11.1866539610694,5,0.236344570623689,"Preprocessor1_Model09"
"15",5,500,50,"rmse","standard",11.191990930408,5,0.237841832743563,"Preprocessor1_Model03"
"16",3,500,150,"rmse","standard",11.1950669006858,5,0.200276301767766,"Preprocessor1_Model20"
"17",1,1500,100,"rmse","standard",11.1951738086199,5,0.203179728839183,"Preprocessor1_Model16"
"18",1,1000,100,"rmse","standard",11.1965613571235,5,0.20504044123614,"Preprocessor1_Model13"
"19",3,1500,150,"rmse","standard",11.1996572214421,5,0.201885292635639,"Preprocessor1_Model26"
"20",5,1000,150,"rmse","standard",11.2010766008075,5,0.205562658955373,"Preprocessor1_Model24"
