"","penalty",".metric",".estimator","mean","n","std_err",".config"
"1",3.5,"rmse","standard",11.0880605995935,10,0.20010807963253,"Preprocessor1_Model035"
"2",3.6,"rmse","standard",11.0880771868597,10,0.200167843866482,"Preprocessor1_Model036"
"3",3.4,"rmse","standard",11.0880794583936,10,0.20005401062277,"Preprocessor1_Model034"
"4",3.7,"rmse","standard",11.0881138388498,10,0.200219309381084,"Preprocessor1_Model037"
"5",3.3,"rmse","standard",11.0881182291834,10,0.20000211380499,"Preprocessor1_Model033"
"6",3.8,"rmse","standard",11.0881594338698,10,0.200272963566968,"Preprocessor1_Model038"
"7",3.2,"rmse","standard",11.0881740307511,10,0.199942597196693,"Preprocessor1_Model032"
"8",3.9,"rmse","standard",11.0882290714594,10,0.20032924216187,"Preprocessor1_Model039"
"9",3.1,"rmse","standard",11.0882482704245,10,0.199897638287827,"Preprocessor1_Model031"
"10",4,"rmse","standard",11.0883377286642,10,0.200386377825108,"Preprocessor1_Model040"
"11",3,"rmse","standard",11.0883422541118,10,0.199855747506149,"Preprocessor1_Model030"
"12",2.9,"rmse","standard",11.0884379837662,10,0.199796501773032,"Preprocessor1_Model029"
"13",4.1,"rmse","standard",11.0884498442091,10,0.200440319748032,"Preprocessor1_Model041"
"14",4.2,"rmse","standard",11.0885778110051,10,0.200494967725032,"Preprocessor1_Model042"
"15",2.8,"rmse","standard",11.0886021969155,10,0.199737746426535,"Preprocessor1_Model028"
"16",4.3,"rmse","standard",11.0887218662943,10,0.200553291997996,"Preprocessor1_Model043"
"17",2.7,"rmse","standard",11.0887885349297,10,0.199692810733668,"Preprocessor1_Model027"
"18",4.4,"rmse","standard",11.088879074801,10,0.200604537124785,"Preprocessor1_Model044"
"19",4.5,"rmse","standard",11.0890331530505,10,0.200655384833203,"Preprocessor1_Model045"
"20",2.6,"rmse","standard",11.0890501622743,10,0.199661285677082,"Preprocessor1_Model026"
