"","penalty",".metric",".estimator","mean","n","std_err",".config"
"1",0.1,"rmse","standard",11.1801027877887,10,0.207171905174465,"Preprocessor1_Model001"
"2",0.2,"rmse","standard",11.1801027877887,10,0.207171905174465,"Preprocessor1_Model002"
"3",0.3,"rmse","standard",11.1801027877887,10,0.207171905174465,"Preprocessor1_Model003"
"4",0.4,"rmse","standard",11.1801027877887,10,0.207171905174465,"Preprocessor1_Model004"
"5",0.5,"rmse","standard",11.1801027877887,10,0.207171905174465,"Preprocessor1_Model005"
"6",0.6,"rmse","standard",11.1801027877887,10,0.207171905174465,"Preprocessor1_Model006"
"7",0.7,"rmse","standard",11.1805516033857,10,0.207110994836806,"Preprocessor1_Model007"
"8",0.8,"rmse","standard",11.1823379370932,10,0.206906714727232,"Preprocessor1_Model008"
"9",0.9,"rmse","standard",11.1839811809723,10,0.206734437973256,"Preprocessor1_Model009"
"10",1,"rmse","standard",11.1855002118778,10,0.206589011313764,"Preprocessor1_Model010"
"11",1.1,"rmse","standard",11.1869054030487,10,0.206462837257875,"Preprocessor1_Model011"
"12",1.2,"rmse","standard",11.1882048307313,10,0.206361429361688,"Preprocessor1_Model012"
"13",1.3,"rmse","standard",11.1894314266969,10,0.206265695263852,"Preprocessor1_Model013"
"14",1.4,"rmse","standard",11.190541286984,10,0.206189839053129,"Preprocessor1_Model014"
"15",1.5,"rmse","standard",11.1916179213527,10,0.206114498634968,"Preprocessor1_Model015"
"16",1.6,"rmse","standard",11.1926540792424,10,0.206043568786736,"Preprocessor1_Model016"
"17",1.7,"rmse","standard",11.193607929564,10,0.205989905490575,"Preprocessor1_Model017"
"18",1.8,"rmse","standard",11.1945074021419,10,0.205942122243531,"Preprocessor1_Model018"
"19",1.9,"rmse","standard",11.1953813859016,10,0.205896569457853,"Preprocessor1_Model019"
"20",2,"rmse","standard",11.1962247610839,10,0.205847463678166,"Preprocessor1_Model020"
