"","mtry","trees","min_n","tree_depth","learn_rate","loss_reduction","sample_size",".metric",".estimator","mean","n","std_err",".config"
"1",22,766,2,9,0.00505045082258299,4.01848092315667e-08,0.311156726883724,"rmse","standard",11.2146446433229,5,0.125202492829594,"Preprocessor1_Model13"
"2",70,146,38,13,0.0137795324485945,5.20670754831431e-10,0.424619424438104,"rmse","standard",11.26097072514,5,0.131605228770307,"Preprocessor1_Model41"
"3",42,1626,17,8,0.00340538667616574,2.06134710246774e-06,0.23482918599993,"rmse","standard",11.2816300080755,5,0.120317685823443,"Preprocessor1_Model25"
"4",55,83,29,7,0.0447860710359992,0.0614069906826343,0.473249795467127,"rmse","standard",11.3252628193845,5,0.120441111279065,"Preprocessor1_Model32"
"5",37,457,15,2,0.0291819589458032,5.28376514524418e-06,0.316080434834119,"rmse","standard",11.334082914029,5,0.145657537932286,"Preprocessor1_Model22"
"6",79,956,18,10,0.00555478533767104,0.000159702886744209,0.854240649831481,"rmse","standard",11.4348146979552,5,0.1696107164716,"Preprocessor1_Model47"
"7",84,1650,33,13,0.00887706569059592,0.0155844516622747,0.245733362257946,"rmse","standard",11.5273937891571,5,0.123799637671965,"Preprocessor1_Model49"
"8",85,1535,10,5,0.000801968562240883,1.68331575611168e-07,0.169310647089034,"rmse","standard",11.6083956428669,5,0.166413305308886,"Preprocessor1_Model50"
"9",23,1913,9,7,0.0702129516698089,28.8171639385138,0.977073780227918,"rmse","standard",11.6474865789382,5,0.167389609476031,"Preprocessor1_Model14"
"10",53,1851,32,10,0.0268580742126956,0.00267974252521948,0.172876122837886,"rmse","standard",11.9717642759095,5,0.145039216225099,"Preprocessor1_Model31"
"11",49,1194,28,9,0.000624175238857035,5.57227318236522e-05,0.541178932950366,"rmse","standard",12.0362318441217,5,0.194839209089216,"Preprocessor1_Model28"
"12",19,402,19,6,0.00118058172256803,5.87851618108172,0.917940082615707,"rmse","standard",12.6127596053909,5,0.224761563691581,"Preprocessor1_Model11"
"13",13,1792,27,7,0.00020937490597273,0.000264757580620072,0.887591780360322,"rmse","standard",12.890124802088,5,0.233171462330747,"Preprocessor1_Model08"
"14",44,1828,36,6,0.000106655210435832,1.72978490177948,0.405379115442745,"rmse","standard",13.5767432037491,5,0.252504564214207,"Preprocessor1_Model26"
"15",33,1098,13,13,0.000144449354183162,0.0043213880943849,0.616321532493457,"rmse","standard",13.7077083466557,5,0.254959734357091,"Preprocessor1_Model19"
"16",66,1215,14,3,8.26886375357697e-05,0.000843545923188739,0.35707721523568,"rmse","standard",14.0035013973888,5,0.26047692987668,"Preprocessor1_Model39"
"17",34,48,21,5,0.00181153277743882,2.84198424005262e-08,0.290781330234371,"rmse","standard",14.0584149997111,5,0.262484797319085,"Preprocessor1_Model20"
"18",31,194,4,5,0.000408958477137472,4.73203491009063e-07,0.597764518775977,"rmse","standard",14.0797484847058,5,0.264200586495795,"Preprocessor1_Model18"
"19",13,1380,11,9,3.29585712965075e-05,0.105994216317608,0.191431776046753,"rmse","standard",14.2705144961932,5,0.267077904004479,"Preprocessor1_Model07"
"20",64,358,39,11,4.53090574808505e-05,3.75484168852595,0.338139734238852,"rmse","standard",14.4144171865996,5,0.268778821258264,"Preprocessor1_Model38"
