"","mtry","trees","min_n","tree_depth","learn_rate","loss_reduction","sample_size",".metric",".estimator","mean","n","std_err",".config"
"1",64,275,11,3,0.0575668643685383,2.36466623492823e-08,0.949235056310426,"rmse","standard",11.3972793745825,5,0.22503074518735,"Preprocessor1_Model42"
"2",72,606,4,4,0.0231816124607448,0.113455444789051,0.925494118697476,"rmse","standard",11.4102438233718,5,0.200908240475788,"Preprocessor1_Model48"
"3",7,1427,22,12,0.00104635052210522,0.0072790080239881,0.382905696540605,"rmse","standard",11.413644364264,5,0.20488694109558,"Preprocessor1_Model04"
"4",58,1090,34,8,0.00971873333038243,9.64942999818728e-05,0.352887772949878,"rmse","standard",11.4251684445085,5,0.199677349681982,"Preprocessor1_Model38"
"5",10,1224,30,12,0.00106559679041342,3.59003217156905,0.523334565873724,"rmse","standard",11.4957741733506,5,0.20541694852012,"Preprocessor1_Model06"
"6",38,294,19,4,0.00455415434577449,7.21667657268631e-10,0.750099020520691,"rmse","standard",11.5137402324265,5,0.211923404221554,"Preprocessor1_Model25"
"7",60,395,32,11,0.0293550733512085,3.06705197056268e-06,0.566516400825232,"rmse","standard",11.5574981891639,5,0.18927651813347,"Preprocessor1_Model40"
"8",25,148,32,11,0.00686221962907411,0.267103906148736,0.852863075105939,"rmse","standard",11.6709890413304,5,0.213313040315198,"Preprocessor1_Model16"
"9",32,1960,11,13,0.000520465373651578,1.1724201015189e-06,0.157023536825553,"rmse","standard",11.8063433678749,5,0.205995708998112,"Preprocessor1_Model21"
"10",31,1944,30,12,0.0145949601592268,0.000816771372569896,0.406122478623875,"rmse","standard",11.8236232961205,5,0.157841950260291,"Preprocessor1_Model20"
"11",55,1393,35,5,0.0930228185008061,0.00181773725088342,0.825059636746068,"rmse","standard",12.2702476321721,5,0.135381035471866,"Preprocessor1_Model37"
"12",67,1860,24,10,0.000142457663128246,0.000697831485633563,0.619413020272274,"rmse","standard",13.1779982095148,5,0.209280161982883,"Preprocessor1_Model45"
"13",14,671,38,9,0.000434387133822713,1.75167332161989e-06,0.285285677375272,"rmse","standard",13.2350540852783,5,0.209852883565779,"Preprocessor1_Model09"
"14",23,1912,5,5,0.000105254650429984,0.0647455851928556,0.472910610636696,"rmse","standard",13.4398721846224,5,0.209473306153315,"Preprocessor1_Model15"
"15",20,749,13,15,0.000259055779899208,3.82364262141702e-10,0.5105503714527,"rmse","standard",13.4510377267367,5,0.208346466213595,"Preprocessor1_Model13"
"16",16,66,10,14,0.00251037829177799,0.00262979060284434,0.304526502863504,"rmse","standard",13.5962793250594,5,0.207911926124343,"Preprocessor1_Model11"
"17",8,1741,14,7,3.80344449580679e-05,3.86367594895611e-09,0.705350621562451,"rmse","standard",14.0057960181516,5,0.211718281517221,"Preprocessor1_Model05"
"18",28,893,6,6,7.31314472508057e-05,4.72537114492398e-08,0.808440338906366,"rmse","standard",14.0072279923355,5,0.210963618621183,"Preprocessor1_Model18"
"19",61,21,9,2,0.00231865983794363,4.46528084120305e-07,0.729994439307135,"rmse","standard",14.1438676010998,5,0.212654037052131,"Preprocessor1_Model41"
"20",39,1037,37,7,1.9136943776806e-05,0.00571154363409221,0.395869424056262,"rmse","standard",14.2375083185456,5,0.212754431743951,"Preprocessor1_Model26"
